name,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
MONTE GRANDE,123,0.0146096916,0.0176477771,0
MANSO,122,0.0148170154,0.0179093388,1596
RUI GAMEIRO,122,0.0142192068,0.0168355733,71210
CUSTIÓ,121,0.0150304378,0.018185387,3190
AVILHÓ,121,0.0144159966,0.017046272,71249
TV.FONTE VELHA,120,0.01461831,0.0172638293,71288
PONTELHAS,120,0.015250232,0.0184789833,4782
ESC.SEC.ABEL SALAZAR,120,0.0128476864,0.0157538169,17619
ARAÚJO,119,0.0154766878,0.018795025,6372
CUSTÓIAS (FEIRA),119,0.0148263827,0.0174886111,71327
SANTOS DIAS,119,0.0130075933,0.0159532246,17658
R. ESTAÇÃO ARAÚJO,118,0.0157101129,0.0191422339,7960
CUSTÓIAS,118,0.0150404642,0.0177210128,71366
ABEL SALAZAR,118,0.0131715308,0.0161622783,17697
ZONA INDUSTRIAL,117,0.0133396533,0.0163823858,17736
CAL,117,0.0152608186,0.0179614629,71405
GONDIVAI (NORTE),117,0.0159508341,0.0195386688,9546
CEMITÉRIO NOVO,116,0.0135121232,0.0166154248,17775
EZEQUIEL CAMPOS,116,0.0161991992,0.0200317398,0
PONTE CARRAQUINHO,116,0.0154877258,0.0182104269,71444
B. V. LEÇA BALIO,116,0.0161991992,0.0200317398,11130
AZENHA NOVA,115,0.0136891113,0.0168640088,17814
ANTÓNIO JOSÉ  ALMEIDA,115,0.0157214824,0.0184684128,71483
GONDIVAI (SUL),115,0.0164555782,0.0208219427,14301
MALMEQUERES,114,0.0138707974,0.017131974,17853
EST PRISIONAL DE CUSTOIAS,114,0.0166893052,0.0200387259,15850
TV.PIAS,114,0.0159624033,0.0187359763,71522
SETE BICAS,114,0.016686254,0.0200545048,43811.8055555556
MOUTA,113,0.0140573712,0.0174253605,17892
GONDIVINHO,113,0.016210823,0.0190137289,71561
SRA. DA PENHA,113,0.0169597314,0.0204035191,43850.8055555556
DR DOMINGOS BONTEMPO,113,0.0169618572,0.0203884458,17424
ARCO,112,0.0142490326,0.0177546316,17931
ROT.AGRA,112,0.0142471004,0.0177525389,117776.714285714
S. MAMEDE,112,0.0167211306,0.0203496557,66727.5714285714
R.SENHOR,112,0.0172423225,0.0207704276,43889.8055555556
CUSTÓIAS,112,0.017243633,0.0207562555,18996
ESPOSADE,112,0.0164670972,0.0193023458,71600
GUEIFÃES (ESC.EB2/3),111,0.0144459925,0.0181406344,17970
MATADOURO,111,0.0144446685,0.0181392186,117815.714285714
TV. DE LINHARES,111,0.0167316043,0.0196025781,71639
GODINHO FARIA,111,0.0169939292,0.0207291886,66766.5714285714
QUATRO CAMINHOS,111,0.0175344904,0.021157313,43928.8055555556
CUSTÓIAS (FEIRA),111,0.017535109,0.0211442587,20566
PEDRA VERDE,110,0.0172757766,0.0211334248,66805.5714285714
VIADUTO DO METRO,110,0.0170047475,0.0199152661,71678
FLORES,110,0.0146484738,0.0186355927,18009
FLORES,110,0.0146477931,0.0186348743,117854.714285714
C. C. LONDRES,110,0.0178367305,0.0215668104,43967.8055555556
R. GATÕES,110,0.017836795,0.0215551144,22134
S.RA DO PORTO,110,0.01727199,0.0212156014,66403.3333333333
C.SAÚDE DA  SRA.HORA,109,0.0181495727,0.0220023877,44006.8055555556
MONTE DOS BURGOS,109,0.0175655644,0.0216722205,66442.3333333333
TV.PINGUELA,109,0.0172869569,0.0202413584,71717
PICOUTOS (VIADUTO),109,0.0175671307,0.0215671492,66844.5714285714
CÂNDIDO REIS (METRO),109,0.0181492373,0.0219923193,23700
GUEIFÃES,109,0.0148567119,0.019449695,137478.714285714
MONTE S. BRÁS,108,0.0175786914,0.0205819362,71756
S.RA DA SAÚDE,108,0.0150260889,0.0183452985,0
PICOUTOS,108,0.0178684807,0.0220375294,66883.5714285714
SOUTO,108,0.0149242488,0.0178019587,0
CUSTÓIAS (METRO),108,0.0184730217,0.0224607188,25264
C. SEIXO (SUL),108,0.0178692911,0.0221761273,66481.3333333333
PADRE AMÉRICO,108,0.0150256943,0.018355409,129827.714285714
AV.VASCO DA GAMA,108,0.0184735849,0.0224688563,44045.8055555556
SÁ E MELO,107,0.015245613,0.0186878093,129866.714285714
BARCA,107,0.015139937,0.0180656557,0
FOGUETEIROS (SUL),107,0.0181837062,0.0227497346,66520.3333333333
ANTONIO ALEIXO,107,0.0152456675,0.0186791608,1580
MONTE DOS PIPOS,107,0.0188087774,0.0229675218,26826
VIA NORTE,107,0.01818035,0.0225563999,66922.5714285714
RUA DA LAGOA,107,0.018809376,0.0229733814,44084.8055555556
OUTEIRO,107,0.015140798,0.0180682926,1584
BR.GUARDAS,107,0.0178804416,0.0209382468,71795
JUNTA FREG. BARCA,106,0.0153629795,0.0183459583,1584
DOZE CASAS,106,0.0160949356,0.0190169107,13362.6666666667
AV. SALGADO ZENHA,106,0.0191571812,0.0235245732,28386
CATASSOL,106,0.0154718978,0.0190459015,3158
FONTE DO CUCO,106,0.0191576004,0.0235277496,44123.8055555556
C. SEIXO (NORTE),106,0.0185093839,0.0234473401,66559.3333333333
HENRIQUE BARROS,106,0.0154720649,0.0190528663,129905.714285714
CENTRAL SEIXO,106,0.0185032991,0.0231463297,66961.5714285714
RIBEIRA,106,0.0192063956,0.0245351053,102014.068421053
LGO. ALJUBARROTA,106,0.0182029479,0.0217776427,0
TAMANQUEIROS,106,0.0153638605,0.0183486503,3166
CHÃS,106,0.0181872735,0.0217708284,28889.6222910217
ALDEIA  BAIXO,106,0.0181927321,0.0213117511,71834
GUINDAIS,105,0.017319062,0.0203012066,39547.2833333333
PADRÃO DA LÉGUA,105,0.0188469404,0.0244820586,66598.3333333333
PADRÃO LÉGUA,105,0.0188379293,0.0238618008,67000.5714285714
CASA DO POVO,105,0.0185161252,0.0217041925,71873
TV. PASSOS MANUEL,105,0.0195189616,0.0241544046,74125.8055555555
VERMOIM,105,0.0155937349,0.0186451879,4746
COMBONIANOS,105,0.0157050867,0.0194579671,4734
5 DE OUTUBRO,105,0.0157053454,0.0194629838,129944.714285714
P. ABÍLIO SAMPAIO,105,0.015592833,0.0186424339,3166
LGO. DA CRUZ,105,0.0185287189,0.0222244994,1581
JARDINS DA ARRÁBIDA,105,0.0185156902,0.022219385,28928.6222910217
FONTINHA,105,0.0163493957,0.0193130422,13401.6666666667
