Source;Target;Type;Weight
"AZN2";"CNV2";Directed;1
"ESCL";"SR1";Directed;2
"ARRB2";"JA2";Directed;3
"CFM";"GCZ6";Directed;1
"JLD1";"CNSL1";Directed;2
"MGB2";"HSA";Directed;1
"BRA4";"CPSF2";Directed;1
"DSS";"IPRN2";Directed;1
"PRL1";"SBNT";Directed;1
"DTR";"LIEG1";Directed;1
"ANTG1";"LDD2";Directed;1
"GUAR2";"CRZ";Directed;1
"MNSO1";"MGDE1";Directed;2
"ESPL2";"FNTA";Directed;2
"ACB1";"ELV1";Directed;1
"HUMB2";"ARSF4";Directed;2
"BVBR2";"BCM3";Directed;1
"CCBR";"SVT2";Directed;1
"SVT3";"LW1";Directed;3
"ARSM1";"ARSF3";Directed;2
"CMO1";"CMO";Directed;1
"JFB1";"GEST";Directed;1
"SOLP1";"HMBC1";Directed;1
"ESGZ1";"DNAP3";Directed;3
"BFTM4";"LDD1";Directed;1
"PCTV1";"PDV1";Directed;1
"MTCT2";"SARI2";Directed;1
"CUSF3";"CUS1";Directed;1
"AZN1";"MALM1";Directed;1
"GSUL1";"EZC4";Directed;1
"BVE2";"ERMI2";Directed;3
"SBR1";"PTCR1";Directed;2
"PCC1";"CMP1";Directed;1
"CMO3";"CLRG";Directed;1
"PMEL2";"RCD2";Directed;1
"ENX1";"ARSM1";Directed;3
"MFZ1";"PLUZ1";Directed;1
"APT1";"CART";Directed;1
"MNH1";"GJ1";Directed;2
"TLN2";"ESP2";Directed;1
"RM3";"JPAZ1";Directed;1
"ESCN1";"MOR1";Directed;1
"PRA2";"EMDN2";Directed;1
"NVL1";"PCTO1";Directed;2
"JM2";"PRG6";Directed;3
"SCT4";"MEIR";Directed;2
"MATI";"SMAT3";Directed;1
"PREG1";"ESCL";Directed;1
"CMO4";"OLIV";Directed;1
"BS6";"BVCT1";Directed;1
"ADA2";"RPM2";Directed;1
"PRU3";"AEPT1";Directed;1
"RTE2";"PERL2";Directed;1
"SAR2";"DJ1";Directed;1
"PRR5";"TRD5";Directed;2
"ISCP1";"DRB1";Directed;3
"E109";"VAL1";Directed;2
"ARSM1";"AFEI1";Directed;4
"CVO";"ALNV1";Directed;1
"PREL2";"CPR2";Directed;1
"BARR1";"IGRA1";Directed;1
"COEM";"VAL";Directed;1
"BRV2";"FTM2";Directed;1
"FG1";"HSM";Directed;1
"PREL4";"URBP1";Directed;1
"BRRO3";"PRU1";Directed;2
"SCAL4";"DCS4";Directed;1
"TNG2";"TVFC";Directed;1
"NDA2";"CMP2";Directed;1
"RDAG1";"RGDU";Directed;1
"CSJ4";"ISEP4";Directed;1
"PAL2";"PRG4";Directed;2
"CMO";"HSA3";Directed;2
"CTIO1";"MNSO1";Directed;2
"CRT2";"ESCL";Directed;5
"CSSM1";"ASZ1";Directed;1
"C302";"BV2";Directed;2
"MFOT2";"VLR2";Directed;1
"VINH2";"TAR6";Directed;1
"PREA2";"QSEC2";Directed;2
"SRRS1";"DP5";Directed;2
"MAIE2";"SBO1";Directed;1
"LIEG1";"CRTO3";Directed;3
"PINM1";"GC11";Directed;1
"IGRA2";"BARR2";Directed;1
"GTN2";"MAVO2";Directed;1
"RTP2";"CRVL";Directed;2
"RSUL2";"FAP2";Directed;2
"CORD4";"PRL8";Directed;1
"RNSG2";"QCM1";Directed;1
"SRRS1";"CSSR1";Directed;2
"IB3";"ST3";Directed;2
"CVI4";"NAT2";Directed;2
"ANTG2";"BRCP2";Directed;2
"GGC1";"RGLE1";Directed;3
"SDMC4";"SER2";Directed;1
"LBM1";"FCAS1";Directed;1
"TPM2";"FTCC6";Directed;1
"SJBC2";"ABSS2";Directed;3
"STG1";"JPR1";Directed;1
"PAUS2";"MTCT2";Directed;1
