Id,TotalParagens,Latitude,Longitude
 ESTR.CIRCUNVALAÇÃO ,86,41.146584,-8.579357
 R.D.AFONSO HENRIQUES ,32,41.19645,-8.576491
 AV.BOAVISTA ,30,41.159073,-8.634337
 AV.FERNÃO MAGALHAES ,22,41.179573,-8.582121
 R.COSTA CABRAL ,22,41.172386,-8.5874405
 R.S.VICENTE ,21,41.236572,-8.525795
 R.5 OUTUBRO ,19,41.143635,-8.535733
 R.CONCEIÇÃO FERNANDES ,16,41.114037,-8.602271
 R.GUERRA JUNQUEIRO ,15,41.204887,-8.5869875
 R.BÉLGICA ,15,41.13142,-8.651694
 AV.REPÚBLICA ,14,41.11619,-8.60671
 R.OURO ,14,41.148323,-8.648438
 R.DIOGO BOTELHO ,14,41.15212,-8.655342
 R.S.ROQUE LAMEIRA ,13,41.160835,-8.577648
 AV.DA CONDUTA ,13,41.169624,-8.5507345
 AV.GEN.HUMBERTO DELGADO ,12,41.157444,-8.529389
 R.CIDRES ,12,41.219658,-8.679025
 R.OSCAR DA SILVA ,12,41.216454,-8.692268
 R.AMIAL ,11,41.17548,-8.613824
 R.RESTAURAÇÃO ,11,41.14541,-8.625267
 R.ELIAS GARCIA ,11,41.219467,-8.558834
 R.GODINHO FARIA ,11,41.196434,-8.610796
 R.PADRE COSTA ,11,41.188667,-8.597224
 AV.MARECHAL GOMES COSTA ,11,41.157284,-8.667089
 R.PASSEIO ALEGRE ,10,41.14917,-8.672047
 AV.ALIADOS ,10,41.147457,-8.611436
 AV.PAIVA COUCEIRO ,10,41.143833,-8.581927
 AV.DR.ANTUNES GUIMARÃES ,10,41.19367,-8.688848
 R.D.ANTÓNIO CASTRO MEIRELES ,10,41.19793,-8.59471
 R.CUSTIÓ ,10,41.222492,-8.638627
 AV.ENG.DUARTE PACHECO ,10,41.196434,-8.521133
 R.VASCO GAMA ,10,41.19484,-8.510061
 R.MOSTEIRO ,10,41.209724,-8.574867
 R.CORONEL CARLOS MOREIRA ,10,41.241486,-8.63767
 R.BARREIRO ,9,41.234104,-8.669369
 R.CÂNDIDO REIS ,9,41.13518,-8.611994
 AV.ANTUNES GUIMARÃES ,9,41.170334,-8.657434
 R.S.GENS ,9,41.192516,-8.634635
 R.EDUARDO CASTRO GANDRA ,9,41.153774,-8.513829
 AV.D.JOAO I ,9,41.1688,-8.559098
 R.NOVA SEIXO ,9,41.192562,-8.633518
 AV.CARVALHA ,9,41.163914,-8.539246
 R.SANTANA ,9,41.216064,-8.614118
 R.CRASTO ,9,41.105965,-8.640869
 R.CAMPO ALEGRE ,9,41.15364,-8.640988
 R.CONSTITUIÇÃO ,8,41.16368,-8.617913
 R.ARREGADAS ,8,41.222717,-8.572733
 R.MANUEL GONÇALVES LAGE ,8,41.20534,-8.591488
 R.GENERAL HUMBERTO DELGADO ,8,41.214638,-8.588389
 VIA ESTRUTURANTE DE CRESTINS ,8,41.231358,-8.65554
 R. AREIAS ,8,41.159355,-8.555126
 R.MANUEL PINTO AZEVEDO ,8,41.17108,-8.644485
 R.REI RAMIRO ,8,41.13813,-8.621593
 R.D.JOÃO CASTRO ,8,41.18182,-8.532333
 AV.VASCO GAMA ,8,41.191284,-8.658287
 R.ESTRADA NOVA ,8,41.18252,-8.559799
 R.JÚLIO DINIS ,8,41.15643,-8.627884
 R.1 MAIO (N 105) ,8,41.238262,-8.532312
 R.RODRIGUES FREITAS ,8,41.213272,-8.554373
 R.S.BRÁS ,8,41.218914,-8.663181
 R.SIMÕES LOPES ,8,41.228848,-8.555346
 R.RECAREI ,8,41.1958,-8.633602
 R.LOMBA ,8,41.20334,-8.66474
 R.CONS.LUÍS MAGALHÃES ,8,41.254143,-8.653679
 ALAM.HERNÂNI MONTEIRO ,7,41.183353,-8.60238
 R.ANTERO QUENTAL ,7,41.216652,-8.541614
 R.ESCOLAS ,7,41.1615,-8.572711
 AV.AEROPORTO ,7,41.23405,-8.67005
 R.31 JANEIRO ,7,41.221336,-8.687876
 R.PEDRO ÁLVARES CABRAL ,7,41.170162,-8.560094
 R.BONFIM ,7,41.1507,-8.594581
 R.OCIDENTAL ,7,41.22416,-8.706945
 VIA DE ARDEGÃES ,7,41.230736,-8.572611
 R.CÊRCO PORTO ,7,41.159363,-8.56896
 R.SANTOS DIAS ,7,41.20259,-8.608657
 R.JOÃO VIEIRA ,7,41.189507,-8.56191
 R.BARÃO CORVO ,7,41.127125,-8.624727
 AV.CALOUSTE GULBENKIAM ,7,41.181408,-8.659201
 R.D.MANUEL II ,7,41.148876,-8.626218
 AV.RODRIGUES FREITAS ,7,41.14558,-8.603578
 R.MANUEL J.FERNANDES SANTOS ,7,41.220417,-8.546237
 R.MONTE BURGOS ,7,41.170124,-8.625879
 R.REGADIO ,7,41.191185,-8.676948
 R.MANUEL FERREIRA PINTO ,6,41.22204,-8.603626
 R.MARTIM MONIZ ,6,41.170948,-8.67078
 R.GONDIVAI ,6,41.214027,-8.634938
 R.VALE FORMOSO ,6,41.17082,-8.6126995
 R.ALEGRIA ,6,41.15792,-8.601768
 R.S.DINIS ,6,41.167496,-8.617266
 R.ARROTEIA ,6,41.225075,-8.545618
 R.DR.BERNARDINO MACHADO ,6,41.24234,-8.621114
 AV.SERPA PINTO ,6,41.18559,-8.696014
 R.NOVA ALFÂNDEGA ,6,41.140804,-8.616863
 R.SÁ BANDEIRA ,6,41.149406,-8.607408
 R.CENTRAL CAMPO ,6,41.182583,-8.474788
 R.S.TOMÉ ,6,41.184013,-8.609535
 R.TENENTE VALADIM ,6,41.13402,-8.632195
 R.AUGUSTO SIMÕES ,6,41.22298,-8.615154
 AV.MONTEVIDEU ,6,41.15973,-8.683749
 R.FREIXO ,6,41.145504,-8.578613
 R.D.HENRIQUE CERNACHE ,6,41.12035,-8.626563
 AV.ESCULTORES ,6,41.139336,-8.635542
 LGO.FERREIRA LAPA ,6,41.155197,-8.628362
 R.OLIVEIRA MONTEIRO ,6,41.16125,-8.624762
 R.MAÍNÇA ,6,41.203205,-8.623049
 R.PONTE PARADA ,6,41.206985,-8.596673
 R.DR.EDUARDO TORRES ,6,41.180557,-8.668855
 AV.D.AFONSO HENRIQUES ,6,41.184032,-8.68411
 R.JOSÉ JOAQUIM R.TELES ,6,41.21644,-8.5512905
