Source;Target;Type
"SO2";"LGET2";Directed
"LGET2";"CSSR2";Directed
"CSSR2";"SRRS2";Directed
"SRRS2";"BRRS";Directed
"BRRS";"TCVC";Directed
"TCVC";"ALPR1";Directed
"ALPR1";"VDV2";Directed
"VDV2";"INFH2";Directed
"INFH2";"TELH2";Directed
"TELH2";"GSHP2";Directed
"GSHP2";"MAKR4";Directed
"MAKR4";"AKI2";Directed
"AKI2";"HRC2";Directed
"HRC2";"RFON2";Directed
"RFON2";"APRD3";Directed
"APRD3";"CMSM1";Directed
"CMSM1";"BVC2";Directed
"BVC2";"LV4";Directed
"LV4";"PRMR2";Directed
"PRMR2";"MJP2";Directed
"MJP2";"CDL2";Directed
"CDL2";"LGM2";Directed
"LGM2";"AH";Directed
"AH";"28J2";Directed
"28J2";"CCB2";Directed
"CCB2";"ARRB2";Directed
"ARRB2";"JA2";Directed
"JA2";"CHAS2";Directed
"CHAS2";"NOC";Directed
"NOC";"JM2";Directed
"JM2";"PRG6";Directed
"PRG6";"PAL4";Directed
"PAL4";"HSA";Directed
"HSA";"CORD4";Directed
"CORD4";"AAL4";Directed
