Source;Target;Type
"CMS1";"BCM5";Directed
"BCM5";"BS8";Directed
"BS8";"PRG3";Directed
"PRG3";"JM1";Directed
"JM1";"GGT3";Directed
"GGT3";"CHAS1";Directed
"CHAS1";"NOC";Directed
"NOC";"ARRB1";Directed
"ARRB1";"CCB1";Directed
"CCB1";"28J1";Directed
"28J1";"EC";Directed
"EC";"LGM1";Directed
"LGM1";"LGEQ1";Directed
"LGEQ1";"TFL1";Directed
"TFL1";"RFL1";Directed
"RFL1";"RTV1";Directed
"RTV1";"QCMN1";Directed
"QCMN1";"ESPH1";Directed
"ESPH1";"SCC1";Directed
"SCC1";"BGJ1";Directed
"BGJ1";"CCL";Directed
"CCL";"ALUM1";Directed
"ALUM1";"FTS1";Directed
"FTS1";"PIC1";Directed
"PIC1";"ACB1";Directed
"ACB1";"ELV1";Directed
"ELV1";"JGD1";Directed
"JGD1";"LVP";Directed
