Source;Target;Type
BLAM3;PDR;Directed
PDR;C24A2;Directed
C24A2;BFM1;Directed
BFM1;GDM1;Directed
GDM1;PRF1;Directed
PRF1;A25A1;Directed
A25A1;FVLH1;Directed
FVLH1;EDRG3;Directed
EDRG3;CRJ1;Directed
CRJ1;FSTO1;Directed
FSTO1;FALC;Directed
FALC;CRT2;Directed
CRT2;ESCL;Directed
ESCL;SR1;Directed
SR1;TPT1;Directed
TPT1;SCT3;Directed
SCT3;SCAL1;Directed
SCAL1;CHV1;Directed
CHV1;CVN1;Directed
CVN1;SSB1;Directed
SSB1;VDN1;Directed
VDN1;FRR1;Directed
FRR1;CRR1;Directed
CRR1;PTHS1;Directed
PTHS1;VFRR1;Directed
VFRR1;ECC1;Directed
ECC1;RGD1;Directed
RGD1;SXO1;Directed
SXO1;AGAS1;Directed
AGAS1;MTP1;Directed
MTP1;EDM1;Directed
EDM1;ASRR1;Directed
ASRR1;RCMB1;Directed
RCMB1;FTSR1;Directed
FTSR1;GCR1;Directed
GCR1;VCHS1;Directed
VCHS1;25AB1;Directed
25AB1;PAV1;Directed
PAV1;CLVR1;Directed
CLVR1;CMV;Directed
CMV;VALC1;Directed
VALC1;PDR1;Directed
PDR1;PRS1;Directed
PRS1;AGN;Directed
AGN;VLGE1;Directed
VLGE1;AF1;Directed
AF1;CHA1;Directed
CHA1;PAME1;Directed
PAME1;PSEC1;Directed
PSEC1;CMPO;Directed
