Source;Target;Weight;Type
bus.Spot@4f83df68;bus.Spot@6cf0e0ba;1;Directed
bus.Spot@7d8995e;bus.Spot@130d63be;1;Directed
bus.Spot@42a48628;bus.Spot@293a5bf6;2;Directed
bus.Spot@6aeb35e6;bus.Spot@1283bb96;4;Directed
bus.Spot@74f0ea28;bus.Spot@f6efaab;1;Directed
bus.Spot@3c19aaa5;bus.Spot@3349e9bb;3;Directed
bus.Spot@409bf450;bus.Spot@38d8f54a;2;Directed
bus.Spot@49e53c76;bus.Spot@351d00c0;1;Directed
bus.Spot@2a3b5b47;bus.Spot@55b699ef;2;Directed
bus.Spot@35d019a3;bus.Spot@689604d9;3;Directed
bus.Spot@18078bef;bus.Spot@799f10e1;1;Directed
bus.Spot@4c371370;bus.Spot@145f66e3;1;Directed
bus.Spot@3023df74;bus.Spot@313ac989;3;Directed
bus.Spot@4562e04d;bus.Spot@2a65fe7c;3;Directed
bus.Spot@4135c3b;bus.Spot@6302bbb1;1;Directed
bus.Spot@31304f14;bus.Spot@34a3d150;2;Directed
bus.Spot@2a4fb17b;bus.Spot@5c6648b0;3;Directed
bus.Spot@6f1de4c7;bus.Spot@459e9125;1;Directed
bus.Spot@128d2484;bus.Spot@7cc0cdad;2;Directed
bus.Spot@7c7b252e;bus.Spot@4d5d943d;2;Directed
bus.Spot@368f2016;bus.Spot@4c583ecf;7;Directed
bus.Spot@692f203f;bus.Spot@48f2bd5b;4;Directed
bus.Spot@7b2bbc3;bus.Spot@a1153bc;4;Directed
bus.Spot@1aafa419;bus.Spot@47eaca72;1;Directed
bus.Spot@55141def;bus.Spot@55182842;5;Directed
bus.Spot@3270d194;bus.Spot@235834f2;3;Directed
bus.Spot@5656be13;bus.Spot@4218d6a3;1;Directed
bus.Spot@76505305;bus.Spot@14cd1699;1;Directed
bus.Spot@77888435;bus.Spot@73a1e9a9;1;Directed
bus.Spot@71d44a3;bus.Spot@7b98f307;4;Directed
bus.Spot@4802796d;bus.Spot@34123d65;1;Directed
bus.Spot@59474f18;bus.Spot@65fb9ffc;5;Directed
bus.Spot@3e694b3f;bus.Spot@1bb5a082;4;Directed
bus.Spot@78691363;bus.Spot@41d477ed;1;Directed
bus.Spot@3590fc5b;bus.Spot@397fbdb;5;Directed
bus.Spot@33d512c1;bus.Spot@515c6049;1;Directed
bus.Spot@639c2c1d;bus.Spot@5fe94a96;2;Directed
bus.Spot@443118b0;bus.Spot@765d7657;5;Directed
bus.Spot@74235045;bus.Spot@618b19ad;4;Directed
