Id;totalStops;linesServed
COVH;2;3
31JA;1;1
SCR;2;3
SCT;4;8
LVP;1;1
LVR;4;4
SRLZ;1;3
BBL;1;1
FARM;2;1
SDP;2;7
SCND;2;1
AA;2;4
AC;2;1
TSJN;1;1
AF;2;2
JSP;2;1
BCH;2;1
BCG;1;3
AH;1;4
AL;4;11
FRRS;2;1
AM;4;6
BCM;5;20
.;1;1
ACDR;2;1
BCP;2;1
AP;2;1
AR;2;1
AS;2;1
AV;2;3
AZ;1;4
COVN;2;1
LION;1;1
RBRI;2;4
LEIR;2;1
SER;2;1
ARCO;2;1
BH;2;3
BJ;2;2
FLO;4;2
BL;3;5
FLU;5;4
BS;8;18
ISNT;2;1
R;1;1
RZAM;2;1
C6;2;1
PORI;1;2
BV;2;3
SAMP;2;2
BZ;2;1
CMSM;1;4
CB;2;5
CF;2;4
QBV;2;4
SETB;1;1
AVLM;2;1
BEL;2;1
SALM;2;2
CM;1;2
ARDG;4;2
CN;2;1
IMAI;2;4
CQ;4;4
AVLH;2;1
DIU;1;2
CV;2;5
QCH;2;1
SGM;1;5
HRC;2;2
QCM;4;2
FND;2;1
DB;1;2
BFB;1;1
DC;2;2
SRPT;2;3
DJ;1;2
DJM;2;2
BFM;4;7
DL;4;2
AREI;2;1
DP;1;2
GONS;1;1
TBNJ;1;1
FNT;2;1
DT;1;2
DV;1;2
FNZ;2;1
HSA;4;16
AGOM;1;5
FRXI;3;2
EC;1;4
HSJ;9;15
GSUL;2;3
HSM;4;6
BGJ;2;1
FOR;2;1
SCRP;2;5
HSS;2;3
EQ;2;1
BSEE;2;1
CCBR;1;1
RBSS;2;7
RSUL;2;2
FG;3;7
ISRH;1;1
SRRS;2;6
SJB;2;4
FR;1;1
FS;2;1
SRSD;2;3
VFRR;2;3
GA;1;2
GC;2;2
BIC;4;2
GJ;2;2
APDL;2;1
GU;2;1
FRA;2;1
FRC;1;1
FRB;1;1
DJOA;1;11
TMEI;1;1
HB;2;1
AGRO;2;2
SJBC;3;4
HG;1;2
FRN;2;6
FRS;1;1
1CNTM;1;1
FRR;2;3
CIRC;1;1
MSHP;2;3
FLOS;2;4
FRX;4;3
FNTA;1;3
FNTE;2;1
IB;2;3
MFOT;2;1
SLZ;2;3
SARI;2;1
E10;1;2
CVLO;3;3
LAGE;2;1
SMM;6;7
FTC;2;1
DPA;2;1
CABN;2;1
AEPT;1;4
JA;2;4
JB;2;5
LPDZ;1;6
MAL;2;1
JD;3;4
BLD;2;2
BLG;2;4
FTM;4;4
FTN;2;2
PCAR;2;1
BLM;1;9
MAV;2;8
JM;2;8
FTS;2;1
JN;2;2
RIGR;2;3
JP;3;2
CTIO;2;2
JR;1;2
FTV;2;1
DPV;2;2
PINC;1;1
ROTA;1;3
CREI;2;1
PMVA;2;1
SNG;2;1
PINH;2;1
PTCR;2;2
PING;2;3
PINT;2;1
RGDI;3;2
PINM;4;4
DQL;2;5
FNTL;1;2
HPRL;4;6
PEDR;1;1
ROSA;1;1
MCB;1;2
MCE;4;5
SRVM;3;2
MDLI;1;1
DRB;2;3
ACNT;2;1
AVTE;2;2
RMOS;2;1
OLVR;2;1
MCU;1;1
LCMS;1;1
MDLP;1;1
BNJ;2;3
REAR;2;2
SPC;4;2
AALB;2;2
LV;3;7
LW;2;4
VDTM;2;1
LNEV;2;1
MDL;2;1
CEMT;2;1
MF;1;1
RGDU;2;1
MN;2;1
BFTM;4;2
DSQ;1;1
MP;3;2
DSS;1;1
MS;2;7
PTDM;2;1
MV;3;3
MED;2;1
BMAF;1;1
25AB;2;4
ARNH;2;1
REAL;2;1
SPTO;1;1
NP;2;1
DTR;1;2
SRD;2;3
SRC;2;1
PRCD;4;2
SRG;2;2
ACRD;2;4
FSCA;2;1
ATSR;2;3
NZ;2;1
SRP;5;4
ALCF;1;1
MFP;2;1
SRV;2;1
OG;3;3
QNV;2;1
SLOP;1;1
OL;2;1
MFZ;2;5
C30;2;3
SSB;2;4
RGFT;2;3
SSD;2;1
MGB;1;2
IGAL;2;3
ALDN;2;1
MMAI;3;3
BRA;3;3
DVE;2;2
BRC;2;1
BRB;2;1
SST;2;1
BRG;2;1
PG;2;3
AANT;2;3
FZL;2;1
RMST;2;1
BRO;2;5
FLUN;2;3
PP;2;3
PREG;2;1
STA;2;1
BRP;2;1
STC;2;2
BRR;2;3
PT;2;5
OLB;2;1
LAPA;2;4
STE;3;5
PREC;2;2
STG;2;1
BRV;4;2
PREP;1;2
STJ;4;7
STL;2;2
PREL;3;2
STN;2;3
STO;2;5
BSB;1;3
OLM;1;1
TVAS;1;1
OLV;1;1
TMPR;2;1
ACST;1;1
R1;2;1
PISA;2;1
BSS;3;4
R5;2;1
1RAQ;1;1
PTHS;2;3
ARRV;2;1
PISC;1;3
PRDJ;3;16
ALFN;3;2
ALFK;2;1
BOIM;2;1
RA;2;3
BTC;1;1
MIM;2;2
RC;1;3
ALFG;4;5
PGON;2;2
RF;2;2
PRDR;2;2
ALFC;2;2
MIS;2;2
ARRG;2;1
RL;2;2
RM;2;1
PREA;2;3
CERR;2;1
ARRB;3;4
CALE;1;1
RGLE;2;3
CRMT;2;1
SVP;2;3
LARJ;2;3
SA;3;2
ARSR;1;5
RTEL;2;1
SVT;4;6
MJP;2;5
QRS;2;1
ARSM;2;7
SI;2;3
RTES;2;1
DMAN;2;1
1CDR;1;1
SL;2;4
SM;5;5
ARSF;2;2
SO;4;6
CCOR;1;5
SP;5;8
RGLO;2;3
25A;2;2
LARZ;1;1
SR;6;10
ST;4;7
MOIN;2;1
QSEC;2;3
TVBO;2;1
PCID;4;4
PRFL;1;9
BVC;1;4
BVE;2;3
TF;1;3
BVG;2;2
QTC;2;2
CCRN;2;1
MSTO;2;1
QULH;2;1
IMTT;2;2
QTI;1;1
MLH;4;5
QTL;2;3
RGNG;2;1
QTM;2;2
SXO;2;3
NEVG;2;1
CTSS;2;3
UC;3;4
QTR;1;1
TVFC;1;1
TMTS;2;1
5OTR;2;3
PTLH;1;1
NTRT;2;1
PTLS;1;1
CRPO;2;5
5OTB;2;1
GAN;2;3
VL;2;2
GAS;4;2
VN;2;1
APRD;3;4
5OUT;2;2
GAZ;2;1
28J;2;4
RPAC;2;1
MNH;2;2
R7N;1;1
PERL;2;1
R7P;1;1
GC1;2;1
FOCO;3;4
PCNS;1;1
MOD;2;2
ICAM;1;1
TVFO;2;1
RRDL;2;1
CRRS;2;1
MOR;3;3
CRRP;1;1
OUTE;4;4
GCR;2;2
CPNH;2;2
GCZ;1;1
CRTD;1;1
VAL;2;2
CARR;2;1
1PREL;1;1
PRMR;2;5
OTH;2;4
GENT;3;5
MPL;6;11
EALX;1;1
MPN;2;1
CPOV;2;2
ETRP;1;4
FMAG;1;1
PRMV;2;1
FMAI;1;1
CRST;2;1
GDM;1;5
GDR;2;2
IGMI;2;1
ALMG;2;1
ERMD;2;1
VBR;2;2
ERMI;2;7
ALNV;2;1
CRTO;4;5
CRTM;2;2
ZOID;2;1
RAEP;4;6
ICDF;1;5
MRD;1;2
