Id;Address;Zone;Name;Longitude;Latitude
TSL2;R.SIMÕES LOPES;C9;TV.SIMÕES LOPES;-8.555346;41.228848
TSL1;R.SIMÕES LOPES;C9;TV. SIMÕES LOPES;-8.555267;41.228703
QRS2;R.MAÍNÇA;C5;QUEIRÃOS;-8.623049;41.203205
RBRI1;R.NOVA ALFÂNDEGA;C1;RIBEIRA (INFANTE);-8.616863;41.140804
BRRS1;R.COSTA CABRAL;C6;BARROCAS;-8.5874405;41.172386
DPV2;R.VILAR;C1;D.PEDRO V;-8.628509;41.15122
RBRI2;LGO.S.FRANCISCO;C1;RIBEIRA (INFANTE);-8.616531;41.140503
BRRS2;R.COSTA CABRAL;C6;BARROCAS;-8.587981;41.171883
DPV3;R.D.PEDRO V;C1;D.PEDRO V;-8.629133;41.151154
BBL;R.BESSA LEITE;C1;BAIRRO BESSA LEITE;-8.645596;41.15767
PINC2;R.BONJÓIA;C6;PINHEIRO DE CAMPANHÃ;-8.5819025;41.15164
ACD1;AV.MENERES;C3;AFONSO CORDEIRO;-8.685062;41.178787
IGMI1;R.GENERAL HUMBERTO DELGADO;C9;IGREJA (MILHEIROS);-8.588389;41.214638
EFRD2;R.MANUEL PINTO AZEVEDO;C2;ENG. FERREIRA DIAS;-8.644485;41.17108
EFRD1;R.MANUEL PINTO AZEVEDO;C2;ENG. FERREIRA DIAS;-8.644534;41.170902
CMR2;AV.GEN.HUMBERTO DELGADO;C8;CAPITÃO MOURA;-8.529389;41.157444
CMR1;AV.GEN.HUMBERTO DELGADO;C8;CAPITÃO MOURA;-8.529496;41.157722
MJP1;R.MACHADO SANTOS;S8;MAJOR PÁLA;-8.631328;41.12996
MJP2;R.FERNANDES ANJOS;S8;MAJOR PÁLA;-8.630901;41.130688
LGM1;LGO.MONTINHO;S8;L.GO MONTINHO;-8.630421;41.135002
RGLO1;R.PONTE PARADA;C9;ROD. GONÇALVES LAGE;-8.596673;41.206985
CVC2;R.JORGE FERREIRINHA;C5;CAVACO;-8.59905;41.23093
CVC1;R.JORGE FERREIRINHA;C5;CAVACO;-8.5991535;41.231014
RGLO2;R.PONTE PARADA;C9;ROD. GONÇALVES LAGE (OESTE);-8.596902;41.20695
VESS1;R.VESSADA;C9;VESSADA;-8.593061;41.215874
IGMI2;R.GENERAL HUMBERTO DELGADO;C9;IGREJA (MILHEIROS);-8.588034;41.21486
VESS2;R.VESSADA;C9;VESSADA;-8.593291;41.215805
STCZ1;R.DR.SEVERIANO;C8;S.TA CRUZ;-8.531165;41.160843
JAE1;AV.PAIVA COUCEIRO;C1;J.A.E.;-8.581927;41.143833
STCZ2;R.DR.SEVERIANO;C8;S.TA CRUZ;-8.531524;41.161186
FEUP2;R.DR.ROBERTO FRIAS;C6;FACULDADE DE ENGENHARIA;-8.598766;41.17891
TSJN;R.BELMONTE;C1;S.JOÃO NOVO;-8.6168375;41.142612
JSP;URB.JOSÉ DOMINGUES POÇAS;S2;JOSÉ POÇAS;-8.643718;41.105213
JAE2;AV.PAIVA COUCEIRO;C1;J.A.E.;-8.581981;41.1437
BCG;R.CONSTITUIÇÃO;C1;BCG;-8.617913;41.16368
FEUP1;R.DR.ROBERTO FRIAS;C6;FACULDADE DE ENGENHARIA;-8.598446;41.17916
.;R.CONS.LUÍS MAGALHÃES;N11;.;-8.653679;41.254143
AVTE2;R.CONDE AVRANCHES;C6;ALMEIDA VALENTE;-8.61148;41.176846
ALFG3;LGO.ALFÂNDEGA;C1;ALFÂNDEGA;-8.6219845;41.144035
ALFG2;R.NOVA ALFÂNDEGA;C1;ALFÂNDEGA;-8.622612;41.14393
ALFG1;R.NOVA ALFÂNDEGA;C1;ALFÂNDEGA;-8.621926;41.14387
CMS6;R.CAPITÃO HENRIQUE GALVÃO;C1;CASA DA MÚSICA (METRO);-8.629439;41.161274
CMS5;CASA DA MÚSICA;C1;CASA DA MÚSICA (METRO);-8.629439;41.161274
AGM1;AV.BOAVISTA;C1;AGRAMONTE;-8.634337;41.159073
CMS4;CASA DA MÚSICA;C1;CASA DA MÚSICA (METRO);-8.629676;41.161068
AGM2;AV.BOAVISTA;C1;AGRAMONTE;-8.634396;41.15872
CMS3;CASA DA MÚSICA;C1;CASA DA MÚSICA (METRO);-8.630025;41.161373
CMS2;CASA DA MÚSICA;C1;CASA DA MÚSICA (METRO);-8.629695;41.16117
CMS1;CASA DA MÚSICA;C1;CASA DA MÚSICA (METRO);-8.629821;41.161304
AVTE1;R.CONDE AVRANCHES;C6;ALMEIDA VALENTE;-8.611297;41.176743
QRS1;R.MAÍNÇA;C5;QUEIRÃOS;-8.622902;41.20335
CSBV1;R.PEDRO HISPANO;C1;CASA DE SAÚDE DA BOAVISTA;-8.629972;41.165527
CVD2;R.PADRE COSTA;C5;CAVADAS;-8.597224;41.188667
ALFG5;R.NOVA ALFÂNDEGA;C1;ALFÂNDEGA;-8.622187;41.14378
CVD1;R.PADRE COSTA;C5;CAVADAS;-8.597122;41.18881
