Weight;Source;Target;Type
1;R.GONÇALO MENDES MAIA;R.GONÇALO MENDES MAIA;Directed
1;R.PADRE LUÍS CAMPOS;R.ANTÓNIO MARQUES;Directed
1;R.MARQUÊS SÁ BANDEIRA;AV.REPÚBLICA;Directed
1;R.AUGUSTO MARTINS;AV.ASSOC.EMP.DE PORTUGAL;Directed
2;R.VESSADA;R.AGRA;Directed
5;R.DR.SEVERIANO;R.DR.SEVERIANO;Directed
1;R.TRINDADE;AV.FRANÇA;Directed
8;R.PASSEIO ALEGRE;R.PASSEIO ALEGRE;Directed
2;R.SOBREIRO;R.SOBREIRO;Directed
1;R.MARECHAL SALDANHA;R.MOLHE;Directed
2;AV.RAMOS PINTO;LGO.MIGUEL BOMBARDA;Directed
2;R.BONJÓIA;R.BONJÓIA;Directed
1;R.BOLHÃO;R.TRINDADE;Directed
1;VIA DE ARDEGÃES;R.DR.JOAQUIM NOGUEIRA SANTOS;Directed
2;R.DR.MAGALHÃES LEMOS;R.ELISIO DE MELO;Directed
6;R.FORMOSA;R.BONFIM;Directed
7;R.S.BRÁS;R.S.BRÁS;Directed
2;R.PONTE MOREIRA;R.CONS.LUÍS MAGALHÃES;Directed
2;R.N.SRA.FATIMA;R.BARREIRO;Directed
2;R.PONTE MOREIRA;R.PONTE MOREIRA;Directed
1;R.GEN.HUMBERTO DELGADO;R.FORMIGA;Directed
1;R.ENG.FERREIRA DIAS;R.DELFIM FERREIRA;Directed
1;R.BERNARDO SANTARENO;ESTR.CIRCUNVALAÇÃO;Directed
2;R.LIONESA;R.LIONESA;Directed
1;VIA PANORÂMICA EDGAR CARDOSO;R.CAMPO ALEGRE;Directed
3;R.ALEXANDRE HERCULANO;VL9;Directed
1;R.PRELADA;R.CASTELOS;Directed
3;R.CONCEIÇÃO FERNANDES;R.SOARES REIS;Directed
3;AV.5 OUTUBRO;PR.MACHADO SANTOS;Directed
3;R.AUGUSTO SIMÕES;AV.ANTÓNIO SANTOS LEITE;Directed
2;R.CONDOMINHAS;R.ALEIXO MOTA;Directed
20;AV.REPÚBLICA;AV.REPÚBLICA;Directed
1;AV.DR.ANTUNES GUIMARÃES;ESTR.N.107;Directed
1;R.PROF.ALVARO RODRIGUES;R.SOEIRO MENDES;Directed
2;AV.REPÚBLICA;R.CONS.VELOSO CRUZ;Directed
126;R.D.AFONSO HENRIQUES;R.D.AFONSO HENRIQUES;Directed
1;R.LOUREIRO;R.ALDEIA NOVA;Directed
3;AV.D.AFONSO HENRIQUES;R.1 DE MAIO;Directed
8;AV.DR.ANTUNES GUIMARÃES;AV.DR.ANTUNES GUIMARÃES;Directed
2;R.5;R.5;Directed
1;R.5;R.1;Directed
1;R.ENG.DUARTE PACHECO;R.DOMINGOS BARREIROS TOMÉ;Directed
1;R.CARVALHA DE BAIXO;AV.CARVALHA;Directed
1;R.MOALDE;R.PADRE COSTA;Directed
1;R.CINCO OUTUBRO;R.AGRA;Directed
1;R.PADRE COSTA;R.ARROTEIA;Directed
1;R.FEZ;R.ANTÓNIO GALVÃO;Directed
4;R.1 DE MAIO;R.ALFREDO CUNHA;Directed
3;R.D.ANTÓNIO CASTRO MEIRELES;R.IGREJA;Directed
14;R.OLIVEIRA MONTEIRO;R.OLIVEIRA MONTEIRO;Directed
3;AV.VILLAGARCIA AROSA;R.DR.EDUARDO TORRES;Directed
