Id;TotalStops;Longitude;Latitude
R.GATÕES;[bus.Stop@74a14482, bus.Stop@1540e19d, bus.Stop@677327b6];0.0;0.0
R.MACHADO SANTOS;[bus.Stop@14ae5a5, bus.Stop@7f31245a, bus.Stop@6d6f6e28, bus.Stop@135fbaa4, bus.Stop@45ee12a7];0.0;0.0
TV.31 JANEIRO;[bus.Stop@330bedb4];0.0;0.0
R.DR.OLIVEIRA LOBO;[bus.Stop@2503dbd3, bus.Stop@4b67cf4d, bus.Stop@7ea987ac, bus.Stop@12a3a380];0.0;0.0
R.MOSTEIRO LEÇA;[bus.Stop@29453f44, bus.Stop@5cad8086];0.0;0.0
R.DUQUE LOULÉ;[bus.Stop@6e0be858];0.0;0.0
URB.JOSÉ DOMINGUES POÇAS;[bus.Stop@61bbe9ba, bus.Stop@610455d6];0.0;0.0
R.ALTINO COELHO;[bus.Stop@511d50c0, bus.Stop@60e53b93];0.0;0.0
R.FERNÃO LOPES;[bus.Stop@5e2de80c, bus.Stop@1d44bcfa];0.0;0.0
R.SARMENTO BEIRES;[bus.Stop@266474c2, bus.Stop@6f94fa3e];0.0;0.0
R.COMBATENTES G.GUERRA;[bus.Stop@5e481248];0.0;0.0
R.REI RAMIRO;[bus.Stop@66d3c617, bus.Stop@63947c6b, bus.Stop@2b193f2d, bus.Stop@355da254, bus.Stop@4dc63996, bus.Stop@d716361, bus.Stop@6ff3c5b5, bus.Stop@3764951d];0.0;0.0
R.VITORINO DAMÁSIO;[bus.Stop@4b1210ee];0.0;0.0
R.DO FAROL;[bus.Stop@4d7e1886];0.0;0.0
R.LUÍS WOODHOUSE;[bus.Stop@3cd1a2f1];0.0;0.0
R.DR.VASCO VALENTE;[bus.Stop@2f0e140b, bus.Stop@7440e464];0.0;0.0
R.PENA;[bus.Stop@49476842, bus.Stop@78308db1];0.0;0.0
R.JOÃO COUTINHO;[bus.Stop@27c170f0, bus.Stop@5451c3a8, bus.Stop@2626b418, bus.Stop@5a07e868, bus.Stop@76ed5528, bus.Stop@2c7b84de];0.0;0.0
R.ANT.BERNARDINO ALMEIDA;[bus.Stop@3fee733d, bus.Stop@5acf9800, bus.Stop@4617c264, bus.Stop@36baf30c];0.0;0.0
